air_date,title,total_tweets,unique_tweets
11/2/2015,The Bastard Executioner,1,1
11/2/2015,The Big Bang Theory,106,80
11/2/2015,The Blacklist,1,1
11/2/2015,The Flash,591,361
11/2/2015,The Good Wife,132,100
11/2/2015,The Grinder,44,37
11/2/2015,The Last Man on Earth,8,8
11/2/2015,The Middle,9,5
11/2/2015,The Muppets,122,64
11/2/2015,The Originals,1,1
11/2/2015,The Simpsons,57,44
11/2/2015,The Vampire Diaries,1,1
11/2/2015,The Voice,6257,2961
11/2/2015,The Walking Dead,3,3
11/2/2015,iZombie,139,91
11/3/2015,60 Minutes,41,30
11/3/2015,Agents of SHIELD,14204,3213
11/3/2015,America's Funniest Home Videos,4,4
11/3/2015,Arrow,2,2
11/3/2015,Best Time Ever,2124,1156
11/3/2015,Black-ish,1,1
11/3/2015,Blindspot,204,144
11/3/2015,Blood & Oil,58,41
11/3/2015,Bob's Burgers,91,85
11/3/2015,Brooklyn Nine-Nine,20,20
11/3/2015,CSI: Cyber,13,12
11/3/2015,Castle,124,74
11/3/2015,Chicago Fire,7399,1558
11/3/2015,Crazy Ex-Girlfriend,138,96
11/3/2015,Criminal Minds,1,1
11/3/2015,Dancing with the Stars,597,418
11/3/2015,Empire,2,2
11/3/2015,Family Guy,35,28
11/3/2015,Fresh Off the Boat,865,336
11/3/2015,Gotham,474,365
11/3/2015,Grandfathered,1149,423
11/3/2015,Hawaii Five-0,1,1
11/3/2015,Jane the Virgin,394,261
11/3/2015,Law & Order: SVU,2,2
11/3/2015,Life in Pieces,11,10
11/3/2015,Limitless,1446,443
11/3/2015,Madam Secretary,9,8
11/3/2015,Minority Report,63,40
11/3/2015,NCIS,2207,497
11/3/2015,NCIS: Los Angeles,34,23
11/3/2015,NCIS: New Orleans,714,181
11/3/2015,Once Upon a Time,714,462
11/3/2015,Quantico,210,152
11/3/2015,Rosewood,6,6
11/3/2015,Scorpion,57,32
11/3/2015,Scream Queens,20598,5985
11/3/2015,Shark Tank,148,137
11/3/2015,Sleepy Hollow,1,1
11/3/2015,Survivor,115,75
11/3/2015,The Big Bang Theory,73,56
11/3/2015,The Flash,18003,3954
11/3/2015,The Good Wife,48,41
11/3/2015,The Grinder,628,382
11/3/2015,The Last Man on Earth,14,12
11/3/2015,The Middle,3,3
11/3/2015,The Muppets,1448,586
11/3/2015,The Originals,2,2
11/3/2015,The Player,1,1
11/3/2015,The Simpsons,47,40
11/3/2015,The Voice,1473,904
11/3/2015,The Walking Dead,2,2
11/3/2015,iZombie,2467,677
11/4/2015,60 Minutes,49,42
11/4/2015,Agents of SHIELD,711,452
11/4/2015,America's Funniest Home Videos,9,3
11/4/2015,American Horror Story,2,2
11/4/2015,Arrow,16,16
11/4/2015,Best Time Ever,121,86
11/4/2015,Blindspot,96,73
11/4/2015,Blood & Oil,30,23
11/4/2015,Bob's Burgers,54,49
11/4/2015,Brooklyn Nine-Nine,29,27
11/4/2015,CSI: Cyber,10,9
11/4/2015,Castle,431,185
11/4/2015,Chicago Fire,196,127
11/4/2015,Chicago PD,1,1
11/4/2015,Code Black,3,3
11/4/2015,Crazy Ex-Girlfriend,139,74
11/4/2015,Dancing with the Stars,525,329
11/4/2015,Empire,22,21
11/4/2015,Family Guy,66,38
11/4/2015,Fresh Off the Boat,122,76
11/4/2015,Gotham,451,331
11/4/2015,Grandfathered,107,82
11/4/2015,Grey's Anatomy,1,1
11/4/2015,Heroes Reborn,1,1
11/4/2015,Jane the Virgin,210,170
11/4/2015,Life in Pieces,13,13
11/4/2015,Limitless,117,104
11/4/2015,Madam Secretary,13,11
11/4/2015,Minority Report,66,45
11/4/2015,NCIS,99,68
11/4/2015,NCIS: Los Angeles,29,12
11/4/2015,NCIS: New Orleans,17,10
11/4/2015,Once Upon a Time,1121,654
11/4/2015,Quantico,173,116
11/4/2015,Rosewood,1676,444
11/4/2015,Scandal,1,1
11/4/2015,Scorpion,53,36
11/4/2015,Scream Queens,1869,1085
11/4/2015,Shark Tank,116,99
11/4/2015,Sleepy Hollow,1,1
11/4/2015,Supernatural,1,1
11/4/2015,Survivor,6183,1845
11/4/2015,The Big Bang Theory,112,84
11/4/2015,The Flash,1720,776
11/4/2015,The Good Wife,35,34
11/4/2015,The Grinder,86,64
11/4/2015,The Last Man on Earth,22,19
11/4/2015,The Middle,17,16
11/4/2015,The Muppets,176,114
11/4/2015,The Originals,1,1
11/4/2015,The Simpsons,37,32
11/4/2015,The Voice,541,411
11/4/2015,The Walking Dead,1,1
11/4/2015,iZombie,335,221
